usuario,tempo,erro,pagina
1,2.58,2,principal
2,2.1,5,principal
3,3.05,6,principal
4,2.61,6,principal
5,2.36,5,principal
6,2.35,3,principal
7,2.58,1,principal
8,2.36,7,principal
9,2.5,4,principal
10,2.55,2,principal
1,2.33,21,login
2,1.8,11,login
3,3.1,12,login
4,2.83,19,login
5,2.25,31,login
6,2.24,28,login
7,2.64,6,login
8,2.18,31,login
9,2.23,25,login
10,2.38,13,login
1,2.62,24,produtos
2,2.45,5,produtos
3,3.15,13,produtos
4,2.83,6,produtos
5,2.79,19,produtos
6,2.64,9,produtos
7,2.69,7,produtos
8,2.71,3,produtos
9,2.77,18,produtos
10,2.65,24,produtos
1,2.12,25,contato
2,1.75,29,contato
3,3.0,14,contato
4,2.64,26,contato
5,2.65,14,contato
6,2.23,16,contato
7,2.42,15,contato
8,2.59,21,contato
9,2.52,27,contato
10,2.22,10,contato
